date,energy_total,temperature,percent_running
2023-09-24,11.01,70.2,0
2023-09-25,114.63,68.6,0
2023-09-26,124.28,69.7,34
2023-09-27,118.23,70.6,99
2023-09-28,116.26,69.6,97
2023-09-29,105.99,70.5,100
2023-09-30,86.08,64.6,86
2023-10-01,99.14,64,100
2023-10-02,78.52,65.2,79
2023-10-03,104.65,68,100
2023-10-04,116.69,70.7,100
2023-10-05,118.22,74.9,99
2023-10-06,114.90,75.7,100
2023-10-07,108.98,76.1,100
2023-10-08,108.85,78,100
2023-10-09,57.01,71.1,54
2023-10-10,58.28,65.9,68
2023-10-11,103.52,64.9,100
2023-10-12,118.63,64.2,100
2023-10-13,118.94,65.1,100
2023-10-14,123.84,68.1,99
2023-10-15,123.76,68.1,100
2023-10-16,107.22,69.6,100
2023-10-17,92.66,70.2,100
2023-10-18,86.20,70.6,100
2023-10-19,80.18,72.7,100
2023-10-20,80.23,73.2,100
2023-10-21,86.84,68.5,100
2023-10-22,80.61,65,90
2023-10-23,56.51,63.9,56
2023-10-24,67.77,63.7,61
2023-10-25,87.43,61.8,91
2023-10-26,124.01,58.4,100
2023-10-27,114.59,54.8,100
2023-10-28,118.92,53.9,100
2023-10-29,125.87,55.7,100
2023-10-30,108.64,53.4,98
2023-10-31,105.46,54.5,100
2023-11-01,91.91,55.2,100
2023-11-02,68.20,56.7,100
2023-11-03,60.44,61.2,99
2023-11-04,60.09,62.6,100
2023-11-05,69.90,62.9,104
2023-11-06,84.65,65.2,100
2023-11-07,101.03,58.3,100
2023-11-08,115.84,56.7,100
2023-11-09,119.65,52.5,100
2023-11-10,48.87,53,42
2023-11-11,100.80,54.5,100
2023-11-12,52.45,55.4,52
2023-11-13,0.00,57.7,0
2023-11-14,31.67,57.9,60
2023-11-15,99.93,55.1,99
2023-11-16,125.11,58.7,100
2023-11-17,116.17,58.2,100
2023-11-18,110.53,60.9,100
2023-11-19,111.48,55.4,100
2023-11-20,98.48,52.4,100
2023-11-21,84.81,49.3,99
2023-11-22,83.94,50.7,100
