date,energy_total,temperature,percent_running
2023-09-10,0.19,77.9,0
2023-09-11,47.38,78.5,64
2023-09-12,99.39,76,100
2023-09-13,107.35,77.2,100
2023-09-14,118.80,78.7,100
2023-09-15,132.37,77.1,100
2023-09-16,129.72,74.3,100
2023-09-17,66.66,71,51
2023-09-18,99.48,70.1,73
2023-09-19,126.15,71.7,100
2023-09-20,126.61,73.7,100
2023-09-21,127.14,71.1,100
2023-09-22,126.91,69.2,100
2023-09-23,127.39,69.6,100
2023-09-24,127.73,70.7,100
2023-09-25,108.91,67.9,92
2023-09-26,60.16,69.2,74
2023-09-27,53.55,71,100
2023-09-28,57.62,70.6,100
2023-09-29,76.52,71.7,100
2023-09-30,87.72,66.2,100
2023-10-01,97.20,63.9,100
2023-10-02,61.59,66,67
2023-10-03,92.32,67.8,100
2023-10-04,89.45,73.2,86
2023-10-05,109.03,75.2,99
2023-10-06,113.91,78.5,99
2023-10-07,111.65,79.6,100
2023-10-08,110.56,80.4,100
2023-10-09,35.74,69.6,41
2023-10-10,47.49,66.6,70
2023-10-11,54.69,64.6,70
2023-10-12,80.81,66.8,100
2023-10-13,81.72,67,100
2023-10-14,82.82,67.5,100
2023-10-15,83.69,68.8,100
2023-10-16,83.58,70.8,100
2023-10-17,82.36,70.6,100
2023-10-18,85.85,73.3,100
2023-10-19,97.21,76,100
2023-10-20,99.03,74,100
2023-10-21,85.98,67.6,100
2023-10-22,76.51,64.8,100
2023-10-23,57.87,65,100
2023-10-24,60.57,65.1,90
2023-10-25,60.11,62.5,100
2023-10-26,71.85,58.5,100
2023-10-27,68.31,56.7,100
2023-10-28,66.85,56.7,100
2023-10-29,66.90,59.5,100
2023-10-30,66.46,59.3,100
2023-10-31,70.78,60,100
2023-11-01,90.38,60.7,100
2023-11-02,93.65,63.9,100
2023-11-03,93.89,63.9,99
2023-11-04,93.09,68,99
2023-11-05,88.36,64.4,104
2023-11-06,72.91,66.1,100
2023-11-07,72.84,57.9,100
2023-11-08,66.09,59.5,100
2023-11-09,62.00,56,100
2023-11-10,59.04,55.3,100
2023-11-11,53.59,57.9,100
2023-11-12,30.56,59.4,55
2023-11-13,35.78,57.7,54
2023-11-14,66.35,57.3,100
2023-11-15,82.62,57.4,100
2023-11-16,76.21,58.3,100
2023-11-17,77.23,58.2,100
2023-11-18,76.91,59.3,99
2023-11-19,77.29,57.4,100
2023-11-20,77.08,54.6,100
2023-11-21,77.98,51,100
2023-11-22,78.06,55,100
2023-11-23,73.68,57.3,100
2023-11-24,68.81,55.8,100
2023-11-25,19.92,48.7,29
2023-11-26,2.31,48.2,0
2023-11-27,44.23,50.6,67
2023-11-28,19.18,51,23
2023-11-29,58.19,49.6,62
2023-11-30,93.66,50.6,100
2023-12-01,88.98,52.5,100
2023-12-02,89.80,50.8,100
2023-12-03,89.51,54.3,100
2023-12-04,73.22,55.9,99
2023-12-05,66.71,54,100
2023-12-06,66.26,55.8,100
2023-12-07,25.54,53.3,38
2023-12-08,46.89,50.6,71
2023-12-09,67.14,48.9,100
2023-12-10,21.02,49.3,30
2023-12-11,43.55,49,64
2023-12-12,72.66,50.8,100
2023-12-13,75.12,50,100
2023-12-14,64.35,49.2,100
2023-12-15,58.62,50.3,100
2023-12-16,56.05,51.2,100
2023-12-17,54.81,52.1,100
2023-12-18,55.77,51.6,100
2023-12-19,55.03,56.9,100
2023-12-20,55.88,55.4,100
2023-12-21,56.28,54.5,100
2023-12-22,56.31,55.9,100
2023-12-23,50.09,51.4,100
2023-12-24,13.41,47.9,29
2023-12-25,0.00,46.9,0
2023-12-26,0.00,47.8,0
2023-12-27,69.60,49.8,62
2023-12-28,119.35,53.5,100
2023-12-29,101.68,54.4,100
2023-12-30,87.65,56,100
2023-12-31,81.06,50.9,100
2024-01-01,71.16,51.8,100
2024-01-02,67.87,48.9,100
2024-01-03,67.77,49.5,100
2024-01-04,67.40,48.4,100
2024-01-05,60.71,46.9,100
2024-01-06,55.33,46,100
2024-01-07,55.04,44.8,100
2024-01-08,22.86,45,34
2024-01-09,43.24,44,69
2024-01-10,62.05,44.5,100
2024-01-11,62.27,47.7,100
2024-01-12,67.50,41.6,100
2024-01-13,62.80,42.5,100
2024-01-14,57.44,48.6,100
2024-01-15,49.97,48.9,100
2024-01-16,31.86,46.2,63
2024-01-17,50.24,51.2,100
2024-01-18,51.37,48.9,100
2024-01-19,49.40,49.9,100
2024-01-20,34.01,54.6,67
2024-01-22,22.91,56,39
2024-01-23,65.93,53.4,100
2024-01-24,68.03,52.9,100
2024-01-25,67.07,52.6,99
2024-01-26,67.46,51.5,100
2024-01-27,67.63,53.6,100
2024-01-28,67.90,52.9,99
2024-01-29,68.11,54.2,99
2024-01-30,66.99,59.4,100
2024-01-31,66.75,57.8,100
2024-02-01,66.27,54.9,99
2024-02-02,65.86,47.9,100
2024-02-03,67.06,45.9,99
2024-02-04,39.69,49.4,59
2024-02-06,42.54,49.8,49
2024-02-07,69.18,45.4,83
2024-02-08,80.99,44.8,100
2024-02-09,62.30,44.9,83
2024-02-10,69.17,48.6,100
2024-02-11,69.18,45,100
2024-02-12,62.48,48.2,100
2024-02-13,60.64,49.6,97
2024-02-14,61.89,50.6,100
2024-02-15,62.87,53.1,100
2024-02-16,62.59,52,100
2024-02-17,61.54,52.2,100
2024-02-18,60.55,53.4,99
2024-02-19,61.13,58.5,100
2024-02-20,59.87,55.1,100
2024-02-21,30.38,51.5,52
2024-02-22,48.07,50.8,66
2024-02-23,71.79,51.6,98
2024-02-24,56.66,53.9,70
2024-02-25,79.81,56.3,100
2024-02-26,87.65,54.7,100
2024-02-27,94.82,51.4,100
2024-02-28,95.78,51.8,100
2024-02-29,98.85,51,100
2024-03-01,93.48,54.8,100
2024-03-02,91.89,52,100
2024-03-03,92.38,48.2,100
