date,energy_total,temperature,percent_running
2024-07-02,42.25,91,50
2024-07-03,77.31,93.6,91
2024-07-04,68.86,94.5,81
2024-07-05,83.99,92.8,99
2024-07-06,87.00,94.2,100
2024-07-07,101.84,97.3,99
2024-07-08,117.83,91.2,100
2024-07-09,133.67,88.4,100
2024-07-10,137.00,87.3,100
2024-07-11,138.33,96.1,100
2024-07-12,103.65,96.3,97
2024-07-13,87.19,95.9,70
2024-07-14,124.74,88.6,100
2024-07-15,123.78,84.4,100
2024-07-16,118.14,80.9,100
2024-07-17,50.20,76.9,65
2024-07-18,117.54,83.8,99
2024-07-19,95.88,88.8,87
2024-07-20,46.20,91.4,68
2024-07-21,88.69,87.1,100
2024-07-22,89.06,88,100
2024-07-23,105.39,94.5,100
2024-07-24,106.78,95.4,100
2024-07-25,101.56,92.4,100
2024-07-26,98.93,90.3,100
2024-07-27,94.65,77.4,100
2024-07-28,95.89,72.5,100
2024-07-29,88.97,77.6,100
2024-07-30,86.72,77.8,100
2024-07-31,85.93,80.9,100
2024-08-01,83.22,86.7,99
2024-08-02,82.64,88.5,99
2024-08-03,79.91,87.6,100
2024-08-04,77.80,89.6,100
2024-08-05,75.45,85.1,99
2024-08-06,37.96,85.3,57
2024-08-07,40.38,92.3,76
2024-08-08,56.67,88.2,92
2024-08-09,73.54,86.2,100
2024-08-10,73.70,83.9,99
2024-08-11,72.99,86.2,100
2024-08-12,70.32,82,98
2024-08-13,81.09,79.2,100
2024-08-14,83.64,81.7,100
2024-08-15,83.59,82.1,99
2024-08-16,78.55,80,94
2024-08-17,83.60,80.4,100
2024-08-18,83.70,74.9,100
2024-08-19,58.77,77.6,72
2024-08-20,78.63,79,100
2024-08-21,78.72,80.2,100
2024-08-22,78.69,77.2,100
2024-08-23,78.67,70.5,100
2024-08-24,78.64,70.4,100
2024-08-25,66.81,73.8,84
2024-08-26,78.67,76.9,100
2024-08-27,78.63,82.9,100
2024-08-28,73.13,84.7,93
2024-08-29,78.71,81.1,100
2024-08-30,78.77,79.9,100
2024-08-31,78.61,80.7,100
2024-09-01,78.74,79.7,100
2024-09-02,78.72,76.6,100
2024-09-03,74.45,78.8,98
2024-09-04,80.19,86.3,100
2024-09-05,66.92,86.4,100
2024-09-06,80.40,88.8,100
2024-09-07,83.20,87.9,100
2024-09-08,86.11,86.5,100
2024-09-09,86.00,87,100
2024-09-10,85.61,79.1,100
2024-09-11,85.78,74.4,100
2024-09-12,86.12,73.4,100
2024-09-13,83.09,76.1,95
2024-09-14,86.23,79.9,100
2024-09-15,88.91,74.7,100
2024-09-16,58.50,65.7,62
2024-09-17,21.09,65.9,32
2024-09-18,62.42,68.3,100
2024-09-19,64.46,71,99
2024-09-20,64.79,72.1,99
2024-09-21,64.95,75.6,99
2024-09-22,65.07,77.6,99
2024-09-23,65.06,80.9,96
2024-09-24,75.54,84.3,100
2024-09-25,79.85,79.1,99
2024-09-26,91.85,72.2,100
2024-09-27,104.56,77.4,100
2024-09-28,104.04,80.6,100
2024-09-29,103.85,73.4,99
2024-09-30,101.03,77.2,100
2024-10-01,98.44,81.5,100
2024-10-02,98.87,86.1,99
2024-10-03,99.43,87.8,99
2024-10-04,96.53,89.2,97
2024-10-05,40.20,86.1,39
2024-10-06,1.98,86,0
2024-10-07,26.72,86.2,18
2024-10-08,131.16,87.8,99
2024-10-09,121.23,79.1,100
2024-10-10,118.72,74.9,100
2024-10-11,116.56,73.4,99
2024-10-12,111.69,69.3,99
2024-10-13,76.40,71.8,99
2024-10-14,25.65,72.3,44
2024-10-15,24.75,71.6,45
2024-10-16,56.64,70.5,99
2024-10-17,47.19,66.6,92
2024-10-18,57.31,65.8,98
2024-10-19,48.77,66.1,83
2024-10-20,46.39,65.5,79
2024-10-21,58.25,68.3,98
2024-10-22,58.68,67,99
2024-10-23,65.43,66.4,99
2024-10-24,82.37,66.3,99
2024-10-25,91.23,64.3,99
2024-10-26,93.08,66.2,99
2024-10-27,93.94,67,99
2024-10-28,94.20,62.1,99
2024-10-29,92.35,59.3,99
2024-10-30,92.33,55.6,99
2024-10-31,88.34,58.1,99
2024-11-01,90.67,55.6,99
2024-11-02,84.50,58.6,99
2024-11-03,86.90,58,104
2024-11-04,82.76,61.5,99
2024-11-05,80.81,60.3,98
2024-11-06,27.67,61.8,30
2024-11-07,24.91,57,44
2024-11-08,61.87,56.9,99
2024-11-09,63.89,55.6,99
2024-11-10,63.52,59.5,99
2024-11-11,63.09,54.5,99
2024-11-12,63.59,49.7,98
2024-11-13,64.20,51.5,99
2024-11-14,64.25,54.1,99
2024-11-15,67.72,49.9,99
2024-11-16,69.99,50.7,99
2024-11-17,21.01,46.3,30
2024-11-18,45.19,53.7,72
2024-11-19,77.26,48.8,99
2024-11-20,76.06,53.5,99
2024-11-21,70.45,58.6,99
2024-11-22,70.37,59.2,99
2024-11-23,72.91,60.2,99
2024-11-24,75.90,51.6,99
2024-11-25,76.22,52.4,99
2024-11-26,46.93,54.8,64
2024-11-27,65.09,52.3,99
2024-11-28,65.14,44.7,99
2024-11-29,65.31,46.1,99
2024-11-30,65.31,46.1,99
2024-12-01,65.41,48.4,99
2024-12-02,65.30,50.1,99
2024-12-03,65.24,52,99
2024-12-04,65.13,51.1,99
2024-12-05,65.14,52.6,99
2024-12-06,65.07,51.9,99
2024-12-07,64.97,50.7,99
2024-12-08,26.40,52.3,40
2024-12-09,36.57,48.7,68
2024-12-10,59.03,43.7,99
2024-12-11,59.52,43.9,99
2024-12-12,18.83,49.8,31
2024-12-13,4.00,53.5,15
2024-12-14,0.00,53.1,0
2024-12-15,0.00,47.1,0
2024-12-16,38.38,45.5,58
2024-12-17,65.37,50.1,99
2024-12-18,65.27,47,99
2024-12-19,65.39,44.4,99
2024-12-20,65.34,43.8,99
2024-12-21,65.28,47,99
2024-12-22,50.11,54.1,78
2024-12-23,64.81,56.1,99
2024-12-24,64.96,55.5,99
2024-12-25,46.74,46.8,74
2024-12-26,59.47,49.3,99
2024-12-27,59.52,53.7,99
2024-12-28,59.52,53.4,99
2024-12-29,59.48,55.1,99
2024-12-30,59.49,49.6,99
2024-12-31,33.09,48.1,55
2025-01-01,0.00,45.2,0
2025-01-02,1.32,47.1,4
2025-01-03,38.82,49.3,68
2025-01-04,59.48,47.7,99
2025-01-05,59.55,46.8,99
2025-01-06,59.39,47.3,99
2025-01-07,59.46,55,99
2025-01-08,59.56,52.2,99
2025-01-09,59.51,48.3,99
2025-01-10,59.38,49,99
2025-01-11,59.58,53.2,99
2025-01-12,59.45,53.7,99
2025-01-13,35.98,47.4,60
2025-01-14,36.09,46.1,61
2025-01-15,58.65,48.4,98
2025-01-16,58.96,49.1,100
2025-01-17,45.45,49.7,73
2025-01-18,68.35,46.5,99
2025-01-19,70.74,46.7,99
2025-01-20,41.18,44.7,58
2025-01-21,0.00,46.3,0
2025-01-22,0.00,44.9,0
2025-01-23,35.19,48.1,49
2025-01-24,36.78,50.5,58
2025-01-25,65.29,49.6,99
2025-01-26,65.18,45.9,99
2025-01-27,65.29,45,99
2025-01-28,65.29,44.7,99
2025-01-29,65.39,45.4,99
2025-01-30,66.82,46.9,99
2025-01-31,70.74,46.7,99
2025-02-01,70.66,51.2,99
2025-02-02,70.67,58.7,99
2025-02-03,72.15,58.6,99
2025-02-04,33.19,56.2,44
2025-02-05,36.93,50.8,58
2025-02-06,65.35,46.8,99
2025-02-07,63.82,54.2,99
2025-02-08,59.87,48.8,99
2025-02-09,59.91,47.4,99
2025-02-10,59.71,44.6,99
2025-02-11,59.70,42.2,99
2025-02-12,59.87,47.3,99
2025-02-13,37.56,53.1,62
2025-02-14,22.24,53.8,38
2025-02-15,58.84,48.1,100
2025-02-16,58.71,50.3,99
2025-02-17,58.83,49.7,99
2025-02-18,58.60,50.9,99
2025-02-19,58.69,54.4,99
2025-02-20,58.81,54.8,99
2025-02-21,43.31,52.6,73
2025-02-22,41.79,52.2,71
2025-02-23,58.72,57.1,99
2025-02-24,63.38,57.7,99
2025-02-25,68.92,55.2,99
2025-02-26,67.16,53.9,99
2025-02-27,68.50,54.9,99
2025-02-28,68.43,57.4,99
2025-03-01,68.23,56.4,99
2025-03-02,68.53,54.3,99
2025-03-03,68.48,49.6,99
2025-03-04,68.23,50.2,99
2025-03-05,68.52,51.8,99
2025-03-06,68.55,47.3,99
2025-03-07,74.94,48.7,99
2025-03-08,79.15,51.5,99
2025-03-09,75.83,54,95
2025-03-10,79.06,53.7,99
2025-03-11,78.87,54,99
2025-03-12,78.94,55.7,99
2025-03-13,78.82,48.6,99
2025-03-14,78.98,45.7,99
2025-03-15,78.96,48.5,99
2025-03-16,69.00,50.5,87
2025-03-17,51.81,56.7,66
2025-03-18,79.01,50.6,99
2025-03-19,84.52,48.6,99
2025-03-20,89.08,53.4,99
2025-03-21,88.70,52.3,99
2025-03-22,94.82,54.9,99
2025-03-23,98.75,57.9,99
2025-03-24,98.12,61.2,99
2025-03-25,98.00,67.3,99
2025-03-26,97.65,68.7,99
2025-03-27,82.38,64.4,99
2025-03-28,67.27,56.9,89
2025-03-29,96.94,53.4,99
2025-03-30,96.71,56.6,99
2025-03-31,96.64,61.4,99
2025-04-01,96.21,52.2,99
2025-04-02,96.39,50.8,99
2025-04-03,96.37,50.8,99
2025-04-04,96.17,56.7,99
2025-04-05,96.42,60.4,99
2025-04-06,96.22,63.9,99
2025-04-07,95.69,63.9,99
2025-04-08,95.55,61.9,99
2025-04-09,95.76,65.6,99
2025-04-10,92.19,71.3,99
2025-04-11,86.26,68.7,95
2025-04-12,89.85,63.7,99
2025-04-13,89.83,64.2,99
2025-04-14,89.78,69.6,99
2025-04-15,57.32,68.1,63
2025-04-16,69.54,63.6,77
2025-04-17,83.27,61.4,97
2025-04-18,90.79,61.1,99
2025-04-19,89.95,64.1,99
2025-04-20,89.84,65.2,99
2025-04-21,92.67,69,99
2025-04-22,94.78,70.8,99
2025-04-23,94.95,65.7,99
2025-04-24,94.98,60.4,99
2025-04-25,95.18,59.2,100
2025-04-26,98.06,57,100
2025-04-27,100.32,53.6,99
2025-04-28,107.37,57.7,99
2025-04-29,123.58,63.9,99
2025-04-30,138.07,70.2,99
2025-05-01,120.48,70.5,100
2025-05-02,86.86,68.9,99
2025-05-03,72.05,66.6,99
2025-05-04,70.06,63.8,99
2025-05-05,70.01,73.4,99
2025-05-06,70.06,73.8,99
2025-05-07,70.12,69.6,99
2025-05-08,70.18,72.3,99
2025-05-09,84.23,78.2,97
2025-05-10,95.17,82.3,99
2025-05-11,104.12,75.2,99
2025-05-12,31.71,63.2,27
2025-05-13,1.47,61.2,0
2025-05-14,48.31,64.7,39
2025-05-15,123.56,69.5,100
2025-05-16,120.50,72.5,99
2025-05-17,89.13,71.3,71
2025-05-18,120.75,67.2,99
2025-05-19,90.37,76.5,86
2025-05-20,69.32,75.9,64
2025-05-21,119.34,75.1,99
2025-05-22,118.27,75.7,98
2025-05-23,119.65,67.5,99
2025-05-24,102.13,68.9,82
2025-05-25,120.02,69.4,98
2025-05-26,120.27,67.4,99
2025-05-27,114.36,70.6,99
2025-05-28,106.67,74.9,100
2025-05-29,99.61,71.8,99
2025-05-30,101.55,80.7,100
2025-05-31,109.11,88.7,100
2025-06-01,102.87,85.7,100
2025-06-02,96.95,75,100
2025-06-03,99.64,75.4,100
2025-06-04,91.05,77.9,96
2025-06-05,44.96,76.9,55
2025-06-06,116.38,75.5,97
2025-06-07,119.78,78.6,100
2025-06-08,113.20,78.1,100
2025-06-09,106.25,78.4,99
2025-06-10,109.72,78.4,99
2025-06-11,103.99,75.7,100
2025-06-12,100.18,72.7,100
2025-06-13,78.36,75.4,99
2025-06-14,70.38,74,100
2025-06-15,70.37,75.1,100
2025-06-16,70.09,76.1,99
2025-06-17,74.89,75.9,100
2025-06-18,74.56,80,100
2025-06-19,98.36,83.5,100
2025-06-20,114.91,73.1,100
2025-06-21,115.20,70.1,99
2025-06-22,115.59,74.4,100
2025-06-23,122.14,74.9,100
2025-06-24,117.83,78.1,99
2025-06-25,107.69,74.2,100
2025-06-26,110.62,78.1,100
2025-06-27,97.99,80.8,99
2025-06-28,86.64,86.3,100
2025-06-29,73.51,86.5,99
2025-06-30,52.65,85,75
