date,temperature_2m_mean
2025-07-01,78.6
2025-07-02,80.2
2025-07-03,79.5
2025-07-04,78.4
2025-07-05,74.7
2025-07-06,77.6
2025-07-07,80
2025-07-08,77.3
2025-07-09,76.1
2025-07-10,77
2025-07-11,78.5
2025-07-12,80
2025-07-13,79.8
2025-07-14,79.8
2025-07-15,79.9
2025-07-16,79.6
2025-07-17,80.7
2025-07-18,80.4
2025-07-19,79.9
2025-07-20,79.8
2025-07-21,80.2
2025-07-22,81
2025-07-23,82.3
2025-07-24,82.9
2025-07-25,83.3
2025-07-26,81.5
2025-07-27,80.9
2025-07-28,81.4
2025-07-29,82
2025-07-30,83.5
2025-07-31,85
2025-08-01,86.9
2025-08-02,87.3
2025-08-03,86.3
2025-08-04,83.6
2025-08-05,82
2025-08-06,81.3
2025-08-07,81.8
2025-08-08,80.9
2025-08-09,80.9
2025-08-10,81.7
2025-08-11,81.8
2025-08-12,82.7
2025-08-13,85.2
2025-08-14,85.2
2025-08-15,78.3
2025-08-16,80.5
2025-08-17,81.7
2025-08-18,82.5
2025-08-19,81.6
2025-08-20,78.6
2025-08-21,76.4
2025-08-22,76.7
2025-08-23,78.3
2025-08-24,78.2
2025-08-25,77.5
2025-08-26,75.9
2025-08-27,74.5
2025-08-28,74.2
2025-08-29,73.6
2025-08-30,75.8
2025-08-31,77.3
2025-09-01,78.5
2025-09-02,78.3
2025-09-03,81.4
2025-09-04,80.6
2025-09-05,78.9
2025-09-06,78.1
2025-09-07,76.1
2025-09-08,74.7
2025-09-09,76.7
2025-09-10,77.5
2025-09-11,75.9
2025-09-12,78.2
2025-09-13,76.2
2025-09-14,73.9
2025-09-15,74.1
2025-09-16,72.4
2025-09-17,73
2025-09-18,72.6
2025-09-19,74.5
2025-09-20,73.6
2025-09-21,73.5
2025-09-22,73.9
2025-09-23,72.1
2025-09-24,70.8
2025-09-25,73.7
2025-09-26,74
2025-09-27,74.4
2025-09-28,72.9
2025-09-29,73.5
