date,energy_total,temperature,percent_running
2023-09-10,0.05,77.8,0
2023-09-11,3.60,76.8,2
2023-09-12,114.52,75.1,74
2023-09-13,155.14,76.5,99
2023-09-14,154.40,78.2,100
2023-09-15,156.51,77.2,100
2023-09-16,163.03,74.7,100
2023-09-17,50.93,71,29
2023-09-18,0.01,70.4,0
2023-09-19,164.64,71.9,100
2023-09-20,162.54,73.7,100
2023-09-21,165.16,71.3,100
2023-09-22,167.78,69.4,100
2023-09-23,168.37,69.5,100
2023-09-24,168.29,69.8,100
2023-09-25,162.75,68.3,95
2023-09-26,170.19,69.9,100
2023-09-27,168.58,71.1,100
2023-09-28,166.53,69.8,100
2023-09-29,157.82,70.7,100
2023-09-30,153.94,65.4,100
2023-10-01,159.37,64.2,100
2023-10-02,89.76,65.5,77
2023-10-03,92.70,67.7,99
2023-10-04,105.13,71.1,100
2023-10-05,110.54,74.5,99
2023-10-06,111.64,76.4,100
2023-10-07,111.96,76.7,100
2023-10-08,111.70,78.9,100
2023-10-09,61.32,70.8,54
2023-10-10,61.84,66.2,71
2023-10-11,104.97,64.6,96
2023-10-12,127.40,65.7,100
2023-10-13,131.37,66.8,100
2023-10-14,115.49,68.1,100
2023-10-15,115.39,68.2,100
2023-10-16,115.11,70.1,100
2023-10-17,114.40,70.7,100
2023-10-18,113.18,71.5,100
2023-10-19,114.45,72.8,99
2023-10-20,113.53,74.4,100
2023-10-21,119.62,68,100
2023-10-22,134.87,64.3,100
2023-10-23,145.58,64.2,100
2023-10-24,139.24,63.1,92
2023-10-25,156.16,62.2,100
2023-10-26,149.73,58.7,100
2023-10-27,134.53,55.2,100
2023-10-28,138.55,53.8,100
2023-10-29,142.48,57.4,100
2023-10-30,143.31,55.2,100
2023-10-31,136.66,56.9,100
2023-11-01,134.56,56.5,100
2023-11-02,129.96,58.2,100
2023-11-03,113.22,61.9,100
2023-11-04,103.58,63.8,99
2023-11-05,100.46,63.4,104
2023-11-06,92.40,65.2,100
2023-11-07,92.82,58.2,100
2023-11-08,93.65,58.1,100
2023-11-09,93.03,53.6,99
2023-11-10,93.36,54.2,100
2023-11-11,93.21,56,100
2023-11-12,52.66,55.6,55
2023-11-13,59.78,56.4,54
2023-11-14,104.11,57.2,100
2023-11-15,108.00,55,100
