date,energy_total,temperature,percent_running
2023-12-15,27.39,46.4,22
2023-12-16,122.90,46.9,100
2023-12-17,126.46,48.2,100
2023-12-18,124.86,51,100
2023-12-19,119.30,57.6,100
2023-12-20,118.01,56.7,100
2023-12-21,118.59,54.1,100
2023-12-22,127.21,53.4,100
2023-12-23,136.70,49.6,100
2023-12-24,45.90,45.6,29
2023-12-25,0.00,45.5,0
2023-12-26,0.00,47.2,0
2023-12-27,70.19,50.2,45
2023-12-28,169.82,53.6,100
2023-12-29,177.50,53.4,100
2023-12-30,168.66,55.6,100
2023-12-31,158.95,50.9,100
2024-01-01,137.56,51.3,100
2024-01-02,120.79,48.4,100
2024-01-03,114.38,49.1,100
2024-01-04,115.07,46.9,100
2024-01-05,99.89,45.7,100
2024-01-06,93.77,43.6,100
2024-01-07,105.75,42.2,100
2024-01-08,39.89,41.5,34
2024-01-09,67.26,41.7,69
2024-01-10,102.41,43.2,100
2024-01-11,104.84,44.9,100
2024-01-12,118.43,40,100
2024-01-13,120.52,42.7,100
2024-01-14,119.84,47.7,100
2024-01-15,114.90,47.8,100
2024-01-16,77.17,46,68
2024-01-17,108.08,51.3,100
2024-01-18,114.27,47.1,100
2024-01-19,120.78,49.9,100
2024-01-20,122.09,55.5,100
2024-01-21,125.96,55,100
2024-01-22,121.47,56.1,100
2024-01-23,110.49,52.9,100
2024-01-24,105.98,51.7,100
2024-01-25,100.91,52.3,100
2024-01-26,100.41,50.2,100
2024-01-27,99.85,51.7,100
2024-01-28,101.14,51.3,100
2024-01-29,95.98,53.1,92
2024-01-30,95.11,55.7,100
2024-01-31,91.25,57.1,100
2024-02-01,98.85,54.8,100
2024-02-02,113.92,48.9,100
2024-02-03,128.83,46.6,100
2024-02-04,70.87,50.1,55
2024-02-05,8.94,54.3,17
2024-02-06,89.87,49.7,64
2024-02-07,147.64,45.6,94
2024-02-08,157.09,45.5,100
2024-02-09,125.05,43.3,85
2024-02-10,133.43,45.5,100
2024-02-11,114.41,44.5,100
2024-02-12,100.16,45.6,97
2024-02-13,96.86,46.8,100
2024-02-14,96.49,49.6,100
2024-02-15,99.47,52.9,100
2024-02-16,101.96,50.8,100
2024-02-17,100.58,51.1,100
2024-02-18,105.63,54.2,100
2024-02-19,121.28,58.5,100
2024-02-20,129.11,54.6,100
2024-02-21,144.29,52.1,100
2024-02-22,151.19,51.2,100
2024-02-23,108.61,49.7,72
2024-02-24,102.04,52.2,68
2024-02-25,147.22,53.3,100
2024-02-26,151.68,54.1,100
2024-02-27,151.98,51.7,100
2024-02-28,142.55,49.8,100
2024-02-29,135.98,51.5,100
2024-03-01,129.19,54.4,100
2024-03-02,127.96,51.1,100
2024-03-03,128.02,47.3,99
2024-03-04,128.46,47.5,100
2024-03-05,129.46,50.4,100
2024-03-06,112.38,51.2,87
2024-03-07,108.19,51.4,84
2024-03-08,127.78,51.3,100
2024-03-09,129.46,51.3,100
2024-03-10,125.37,52.4,95
2024-03-11,132.33,53,100
2024-03-12,131.79,54.4,100
2024-03-13,134.82,52.8,100
2024-03-14,135.18,55.1,100
2024-03-15,138.30,57.3,100
2024-03-16,139.63,55.7,100
2024-03-17,139.66,56.6,100
2024-03-18,99.53,57.7,71
2024-03-19,139.43,59.1,99
2024-03-20,111.82,59.1,76
2024-03-21,162.60,58.9,100
2024-03-22,140.07,59.4,80
2024-03-23,165.51,56.3,100
2024-03-24,151.52,50.1,100
2024-03-25,153.90,52.6,100
2024-03-26,149.95,52.8,100
2024-03-27,85.39,53.5,54
2024-03-28,69.35,56,42
2024-03-29,170.97,51.2,100
2024-03-30,170.55,51.8,100
2024-03-31,171.89,51.4,100
2024-04-01,168.39,53.5,100
2024-04-02,168.77,57.9,100
2024-04-03,161.77,59.1,100
2024-04-04,157.90,52.1,100
2024-04-05,157.31,45.4,100
2024-04-06,154.52,45.9,100
2024-04-07,139.45,50.7,100
2024-04-08,127.06,54,99
2024-04-09,117.43,56.3,100
2024-04-10,109.12,60.4,100
2024-04-11,115.54,64.5,100
2024-04-12,159.39,65.6,100
2024-04-13,129.40,55.7,83
2024-04-14,153.12,48.2,99
2024-04-15,146.19,53.3,100
2024-04-16,150.91,57.3,100
2024-04-17,157.19,62.6,100
2024-04-18,161.20,64.6,100
2024-04-19,166.51,65.8,100
2024-04-20,165.93,64.1,100
2024-04-21,139.12,64.7,82
2024-04-22,178.18,69,100
2024-04-23,181.25,65,100
2024-04-24,169.35,60.9,100
2024-04-25,161.73,60.3,96
2024-04-26,157.27,60.3,100
2024-04-27,164.87,59,99
2024-04-28,172.83,61.2,100
2024-04-29,170.02,61.8,98
2024-04-30,173.82,63.1,100
2024-05-01,168.99,64.4,100
2024-05-02,151.83,67.2,100
2024-05-03,137.12,67.8,100
2024-05-04,138.16,60.2,100
2024-05-05,129.06,50.5,87
2024-05-08,87.48,64.7,57
2024-05-09,154.34,66.1,99
2024-05-10,154.56,70.7,100
2024-05-11,154.57,74.5,100
2024-05-12,153.93,74.9,99
2024-05-13,155.25,72.7,100
2024-05-14,98.45,70.6,63
2024-05-15,151.96,73.4,100
2024-05-16,148.77,72.7,99
2024-05-17,154.28,69.9,99
2024-05-18,154.54,70.1,99
2024-05-19,135.82,69.4,88
