date,energy_total,temperature,percent_running
2025-01-31,25.61,46.1,32
2025-02-01,17.42,50.9,23
2025-02-02,90.24,55.6,100
2025-02-03,85.59,57.8,99
2025-02-04,35.72,55.5,46
2025-02-05,44.25,50.6,70
2025-02-06,69.05,45.8,100
2025-02-07,73.63,53.8,100
2025-02-08,37.42,47.6,50
2025-02-09,12.59,44.5,28
2025-02-10,66.82,42.8,100
2025-02-11,53.03,42.5,99
2025-02-12,0.80,47.2,1
2025-02-13,24.50,53.3,49
2025-02-14,56.93,52.9,100
2025-02-15,56.94,47.7,86
2025-02-16,28.07,48.6,74
2025-02-17,43.72,50.9,100
2025-02-18,22.41,50.3,56
2025-02-19,0.00,53.3,14
2025-02-20,2.13,53.7,21
2025-02-21,47.43,49.5,75
2025-02-22,58.91,51.1,27
2025-02-23,0.00,55.7,0
2025-02-24,37.40,57,57
2025-02-25,71.45,55.8,100
2025-02-26,93.56,51.7,99
2025-02-27,114.38,53.9,100
2025-02-28,114.33,57.8,99
2025-03-01,109.28,56.2,100
2025-03-02,109.40,52.5,100
2025-03-03,109.31,48.1,99
2025-03-04,109.57,50.2,100
2025-03-05,109.47,51.5,100
2025-03-06,109.23,47.2,100
2025-03-07,108.95,47.7,100
2025-03-08,108.32,49.3,99
2025-03-09,103.24,51.2,95
2025-03-10,99.71,53.4,99
2025-03-11,61.97,54.4,74
2025-03-12,76.35,54.8,99
2025-03-13,76.74,47.9,100
2025-03-14,74.04,45.4,100
2025-03-15,72.83,47.9,100
2025-03-16,72.87,50.3,100
2025-03-17,82.33,55.1,100
2025-03-18,98.91,49.8,100
2025-03-19,106.91,48.2,100
2025-03-20,111.98,53.3,100
2025-03-21,113.22,52.5,98
2025-03-22,120.33,55.6,100
2025-03-23,122.85,56.9,100
2025-03-24,126.32,60,100
2025-03-25,132.36,65,97
2025-03-26,99.58,68.9,63
2025-03-27,117.26,64.5,60
2025-03-28,219.99,57.8,100
2025-03-29,237.23,54.6,100
2025-03-30,238.16,57,100
2025-03-31,218.85,60.7,100
2025-04-01,68.79,50.8,32
2025-04-02,69.86,49.2,67
2025-04-03,104.89,51,100
2025-04-04,105.16,55.5,100
2025-04-05,105.21,58.9,99
2025-04-06,104.89,62.3,99
2025-04-07,102.07,65.3,97
2025-04-08,104.60,62.7,99
2025-04-09,106.21,65.6,100
2025-04-10,109.28,70.2,100
2025-04-11,109.45,68.2,100
2025-04-12,109.89,64.9,99
2025-04-13,110.46,64.2,99
2025-04-14,113.32,68.4,100
2025-04-15,117.80,67.4,100
2025-04-16,121.16,63.6,100
2025-04-17,120.67,61.1,100
2025-04-18,118.23,61.1,100
2025-04-19,114.64,63.9,100
2025-04-20,114.33,65.4,100
2025-04-21,113.69,68.7,97
2025-04-22,119.61,70.6,100
2025-04-23,119.77,66.1,100
2025-04-24,123.17,60.5,100
2025-04-25,126.14,59.1,100
2025-04-26,129.86,56.9,100
2025-04-27,129.86,53.6,100
2025-04-28,128.68,57.3,100
2025-04-29,132.16,64,100
2025-04-30,146.38,69.1,100
2025-05-01,141.06,70.5,100
2025-05-02,86.88,69.6,70
2025-05-03,0.06,65.9,65
2025-05-04,0.00,63.7,76
2025-05-05,88.12,72.2,62
2025-05-06,121.75,73.6,79
2025-05-07,107.52,70.1,63
2025-05-08,183.16,72.3,100
2025-05-09,168.03,77.9,90
2025-05-10,189.95,82.7,99
2025-05-11,199.30,77.8,100
2025-05-12,55.22,64,27
2025-05-13,0.00,61.3,0
2025-05-14,71.68,65.4,38
2025-05-15,183.27,70.1,100
2025-05-16,190.51,73.4,100
2025-05-17,204.10,71.1,100
2025-05-18,204.48,66.7,100
2025-05-19,171.07,74.6,99
2025-05-20,165.86,75.6,100
2025-05-21,137.10,75.4,100
2025-05-22,112.61,77.4,100
2025-05-23,103.80,67.5,99
2025-05-24,103.59,68.9,99
2025-05-25,104.00,69.7,99
2025-05-26,103.97,67.1,99
2025-05-27,99.78,70.5,100
2025-05-28,93.76,75.5,100
2025-05-29,93.92,71.5,100
2025-05-30,93.87,80.3,100
2025-05-31,99.39,88.1,100
2025-06-01,105.89,85.9,100
2025-06-02,105.75,76,94
2025-06-03,122.97,76.2,100
2025-06-04,114.47,78.4,96
2025-06-05,9.01,77.6,23
2025-06-06,65.38,75.5,61
2025-06-07,115.09,78.8,100
2025-06-08,115.27,78.6,100
2025-06-09,117.38,79.1,100
2025-06-10,128.90,79.1,100
2025-06-11,133.35,76,99
2025-06-12,135.31,73,100
2025-06-13,130.79,75.6,100
2025-06-14,136.26,74.8,100
2025-06-15,136.75,76.1,100
2025-06-16,137.91,77.1,100
2025-06-17,139.05,76.2,99
2025-06-18,133.63,79.8,100
2025-06-19,129.45,83.3,89
2025-06-20,95.80,72.2,62
2025-06-21,144.24,69.3,100
2025-06-22,130.38,73.5,99
2025-06-23,136.33,74.8,100
2025-06-24,140.30,78.2,100
2025-06-25,136.24,74.3,100
2025-06-26,121.60,77.6,100
2025-06-27,94.15,80.5,100
2025-06-28,86.83,85.7,100
2025-06-29,86.93,86.5,100
2025-06-30,67.16,85.6,75
