date,energy_total,temperature,percent_running
2023-09-11,21.31,78.4,50
2023-09-12,42.69,75.9,100
2023-09-13,48.25,77.2,99
2023-09-14,52.81,78.6,100
2023-09-15,52.62,77.1,100
2023-09-16,52.56,74.2,100
2023-09-17,27.32,71,51
2023-09-18,44.60,70,74
2023-09-19,63.64,71.7,100
2023-09-20,63.93,73.7,100
2023-09-21,63.81,71,100
2023-09-22,63.79,69.1,100
2023-09-23,63.61,69.6,100
2023-09-24,63.29,70.6,100
2023-09-25,63.11,67.9,99
2023-09-26,63.19,69.1,99
2023-09-27,63.08,70.9,100
2023-09-28,59.32,70.5,100
2023-09-29,51.81,71.7,100
2023-09-30,52.42,66.1,100
2023-10-01,57.61,63.8,100
2023-10-02,49.61,65.9,78
2023-10-03,64.26,67.8,100
2023-10-04,56.25,73.1,100
2023-10-05,42.38,75.1,89
2023-10-06,46.12,78.5,97
2023-10-07,47.80,79.5,100
2023-10-08,47.99,80.3,100
2023-10-09,26.05,69.5,54
2023-10-10,34.37,66.6,71
2023-10-11,48.03,64.5,100
2023-10-12,49.80,66.8,100
2023-10-13,48.96,67,100
2023-10-14,52.66,67.5,100
2023-10-15,53.75,68.7,100
2023-10-16,52.97,70.7,100
2023-10-17,53.15,70.6,100
2023-10-18,53.10,73.3,99
2023-10-19,52.76,76,100
2023-10-20,52.46,73.9,100
2023-10-21,52.30,67.6,100
2023-10-22,52.12,64.8,100
2023-10-23,52.57,64.9,100
2023-10-24,44.36,65.1,83
2023-10-25,53.08,62.5,100
2023-10-26,53.47,58.4,100
2023-10-27,54.22,56.7,100
2023-10-28,52.66,56.6,100
2023-10-29,53.87,59.5,100
2023-10-30,54.00,59.3,100
2023-10-31,54.13,60,100
2023-11-01,54.02,60.6,99
2023-11-02,55.09,63.8,100
2023-11-03,54.14,63.9,100
2023-11-04,55.31,67.9,99
2023-11-05,54.80,64.4,104
2023-11-06,48.37,66,100
2023-11-07,48.52,57.9,100
2023-11-08,45.51,59.5,97
