date,energy_total,temperature,percent_running
2025-01-31,0.00,46.2,34
2025-02-01,0.00,50.9,0
2025-02-02,0.00,55.9,0
2025-02-03,0.00,58,0
2025-02-04,0.00,55.2,0
2025-02-05,0.00,50.4,11
2025-02-06,0.00,45.7,0
2025-02-07,8.13,53.8,38
2025-02-08,0.00,47.8,0
2025-02-09,0.00,44.6,0
2025-02-10,6.54,43.1,44
2025-02-11,0.00,43,4
2025-02-12,0.00,47.1,0
2025-02-13,1.01,53.2,13
2025-02-14,0.00,52.6,21
2025-02-15,0.00,48.4,0
2025-02-16,0.00,48.9,0
2025-02-17,0.00,51.7,0
2025-02-18,7.02,50.9,44
2025-02-19,33.68,53.8,67
2025-02-20,45.58,53.7,93
2025-02-21,37.68,50.4,68
2025-02-22,56.46,52.3,100
2025-02-23,43.70,56.3,100
2025-02-24,25.48,57.4,62
2025-02-25,0.00,56,0
2025-02-26,0.00,52.5,0
2025-02-27,58.56,55,71
2025-02-28,75.28,58.6,100
2025-03-01,68.78,57.9,100
2025-03-02,68.69,52.6,99
2025-03-03,22.96,49,33
2025-03-04,0.00,50.5,0
2025-03-05,47.70,51.3,69
2025-03-06,68.51,47.1,100
2025-03-07,43.21,48.7,62
2025-03-08,0.00,50.2,0
2025-03-09,0.00,52,0
2025-03-10,39.22,54.1,66
2025-03-11,66.74,55.5,98
2025-03-12,68.75,54.9,100
2025-03-13,68.65,47.9,100
2025-03-14,43.00,44.9,62
2025-03-15,0.00,47.9,0
2025-03-16,0.00,50.5,0
2025-03-17,45.67,54.5,66
2025-03-18,69.22,49.4,100
2025-03-19,69.32,48.7,100
2025-03-20,69.34,53.9,100
2025-03-21,67.82,53.3,98
2025-03-22,68.92,55.7,100
2025-03-23,22.70,57.5,32
2025-03-24,0.00,60.7,0
2025-03-25,45.01,65.3,66
2025-03-26,47.59,68.7,71
2025-03-27,67.13,64.2,100
2025-03-28,30.41,57.9,45
2025-03-29,0.00,54.7,0
2025-03-30,0.00,56.5,0
2025-03-31,46.13,59.9,70
2025-04-01,68.90,50.1,100
2025-04-02,72.22,49.1,100
2025-04-03,60.40,51.2,83
2025-04-04,44.26,55.2,64
2025-04-05,67.36,58,100
2025-04-06,67.41,61.3,100
2025-04-07,67.45,64.3,100
2025-04-08,67.31,61.8,99
2025-04-09,67.37,65.1,100
2025-04-10,67.15,69.2,100
2025-04-11,66.05,67.5,98
2025-04-12,66.75,64.5,100
2025-04-13,66.55,64.6,100
2025-04-14,66.58,68,100
2025-04-15,66.45,66.9,100
2025-04-16,65.07,62.7,98
2025-04-17,65.99,60.5,100
2025-04-18,34.09,60.3,51
2025-04-19,0.00,63.7,0
2025-04-20,0.00,65,0
2025-04-21,44.82,68.1,67
2025-04-22,70.54,70.5,100
2025-04-23,70.72,65.8,100
2025-04-24,70.58,60.1,100
2025-04-25,70.77,58.7,100
2025-04-26,70.88,56.9,99
2025-04-27,70.93,53.9,99
2025-04-28,70.81,57.4,99
2025-04-29,69.54,64.5,100
2025-04-30,67.68,69.2,100
2025-05-01,64.73,70.5,100
2025-05-02,41.10,69,65
2025-05-03,0.00,64.6,0
2025-05-04,0.00,63.4,0
2025-05-05,39.71,71.1,64
2025-05-06,64.82,73.8,100
2025-05-07,67.58,70.7,100
2025-05-08,67.46,71.8,100
2025-05-09,67.06,77.9,100
2025-05-10,66.67,82.4,100
2025-05-11,76.42,76.9,100
2025-05-12,23.63,64.1,27
2025-05-13,0.00,60.6,0
2025-05-14,26.90,65.1,40
2025-05-15,66.17,69.8,100
2025-05-16,66.19,73.5,100
2025-05-17,41.50,70.7,62
2025-05-18,1.89,66.4,8
2025-05-19,9.98,74.2,15
2025-05-20,60.73,74.8,73
2025-05-21,86.97,75.5,100
2025-05-22,87.05,77.6,100
2025-05-23,86.85,67.6,99
2025-05-24,74.24,68.7,84
2025-05-25,88.98,68.8,100
2025-05-26,86.53,66.8,100
2025-05-27,86.03,70.4,99
2025-05-28,67.33,75.4,100
2025-05-29,55.45,70.7,100
2025-05-30,55.35,79.7,100
2025-05-31,40.46,87.5,73
2025-06-01,0.00,85.4,0
2025-06-02,9.85,74.8,17
2025-06-03,34.37,74.5,63
2025-06-04,50.53,77,96
2025-06-05,27.30,76.5,54
2025-06-06,72.96,73.6,98
2025-06-07,76.22,77.1,100
2025-06-08,76.85,76.5,100
2025-06-09,68.99,77,92
2025-06-10,70.97,77.4,99
2025-06-11,68.18,74.2,100
2025-06-12,66.81,71.6,100
2025-06-13,57.73,74.2,98
2025-06-14,58.20,73.2,100
2025-06-15,58.46,74.8,100
2025-06-16,58.48,75.5,100
2025-06-17,58.21,74.9,99
2025-06-18,53.53,78.3,98
2025-06-19,57.09,81.3,100
2025-06-20,57.00,69.3,100
2025-06-21,57.30,67.4,100
2025-06-22,57.38,71.6,100
2025-06-23,57.47,73.2,100
2025-06-24,57.36,76.8,99
2025-06-25,55.63,73,100
2025-06-26,57.64,75.9,99
2025-06-27,57.77,78.9,100
2025-06-28,53.82,83.2,100
2025-06-29,52.13,84,100
2025-06-30,39.26,84,75
