date,energy_total,temperature,percent_running
2023-03-30,21.51,46.9,36
2023-03-31,21.09,48.7,17
2023-04-01,0.18,50.8,0
2023-04-02,0.06,53.2,0
2023-04-03,73.25,48.5,68
2023-04-04,108.16,46.8,99
2023-04-05,96.62,46.8,99
2023-04-06,63.53,51.1,80
2023-04-07,74.17,54.6,88
2023-04-08,0.27,55.9,0
2023-04-09,0.13,57.1,0
2023-04-10,70.30,61.1,67
2023-04-11,100.58,61.6,94
2023-04-12,107.41,54.8,99
2023-04-13,61.63,52.9,65
2023-04-14,53.41,52.6,45
2023-04-15,81.56,55.8,74
2023-04-16,0.25,56.4,0
2023-04-17,79.19,54.8,71
2023-04-18,112.88,52.6,99
2023-04-19,90.01,51.7,99
2023-04-20,64.59,54.8,99
2023-04-21,63.98,61.6,99
2023-04-22,21.89,67.5,33
2023-04-23,0.27,66.2,0
2023-04-24,79.06,64,77
2023-04-25,29.71,63.7,28
2023-04-26,28.28,67.5,24
2023-04-27,72.88,70,70
2023-04-28,101.99,72.7,99
2023-04-29,103.05,72.3,99
2023-04-30,93.75,67.3,99
2023-05-01,79.97,55.9,99
2023-05-02,83.08,52.7,99
2023-05-03,89.15,52,99
2023-05-04,91.01,53.8,99
2023-05-05,85.29,54.9,99
2023-05-06,66.29,56,87
2023-05-07,22.62,57.1,29
2023-05-08,43.10,58.4,61
2023-05-09,61.59,59.9,99
2023-05-10,65.28,59.1,99
2023-05-11,72.00,58.7,99
2023-05-12,43.96,63.9,60
2023-05-13,48.54,70.6,75
2023-05-14,34.28,76.3,66
2023-05-15,34.06,72.1,66
2023-05-16,44.12,73.7,70
2023-05-17,68.14,76.8,100
2023-05-18,59.99,73.3,100
2023-05-19,60.27,72.1,100
2023-05-20,60.50,70.1,100
2023-05-21,61.03,69,99
2023-05-22,61.24,74.9,100
2023-05-23,62.14,71.6,100
2023-05-24,65.47,66.5,100
2023-05-25,65.70,65.5,99
2023-05-26,35.20,65.2,48
2023-05-27,0.42,66.3,0
2023-05-28,6.78,66.2,10
2023-05-29,0.29,65.9,0
2023-05-30,42.30,66.6,67
2023-05-31,58.41,65.7,92
2023-06-01,65.35,66.6,99
2023-06-02,57.24,67.9,78
2023-06-03,15.86,72.6,22
2023-06-04,0.42,77.5,0
2023-06-05,20.96,77.1,26
2023-06-06,76.32,70.6,78
2023-06-07,99.65,67.6,100
2023-06-08,90.41,70.3,100
2023-06-09,76.40,70.6,100
2023-06-10,71.31,67.3,100
2023-06-11,71.48,69.7,100
2023-06-12,71.44,70.1,100
2023-06-13,71.37,71.4,100
2023-06-14,70.67,73.1,100
