facility,ensemble_accuracy,xgb_accuracy,prophet_accuracy,months_count,month
ackerman,69.58,69.75,83.27,1,06-2025
krblount,79.64,78.83,90.79,1,06-2025
trinkler,83.93,85.28,-16.44,1,06-2025
alamo,83.67,83.57,56.02,1,06-2025
petersen,85.62,79.85,63.98,1,06-2025
wirkstrom,70.62,67.39,-69.81,1,06-2025
acmachado,86.96,86.29,58.92,1,06-2025
ssdairy,82.97,82.67,39.55,1,06-2025
hilmar,79.73,79.79,36.02,1,06-2025
doubled,76.84,77.72,81.22,1,06-2025
albertmendes,93.42,93.44,88.26,1,06-2025
TOTAL_AVERAGE,81.18,80.42,46.53,11,06-2025
