date,energy_total,temperature,percent_running
2023-09-11,11.04,77.1,7
2023-09-12,155.70,75.6,100
2023-09-13,162.35,76.2,100
2023-09-14,159.90,77.8,100
2023-09-15,153.76,77,100
2023-09-16,161.44,74.8,100
2023-09-17,79.97,71.4,52
2023-09-18,113.80,70.6,73
2023-09-19,154.36,71.8,100
2023-09-20,161.49,73.7,100
2023-09-21,165.54,71,100
2023-09-22,165.91,69.1,100
2023-09-23,166.23,69.1,100
2023-09-24,166.89,70.2,100
2023-09-25,134.83,68.6,89
2023-09-26,130.36,69.7,100
2023-09-27,130.36,70.6,100
2023-09-28,119.83,69.6,100
2023-09-29,103.25,70.5,100
2023-09-30,90.39,64.6,100
2023-10-01,67.24,64,100
2023-10-02,47.23,65.2,76
2023-10-03,67.86,68,100
2023-10-04,77.40,70.7,100
2023-10-05,113.77,74.9,99
2023-10-06,127.98,75.7,100
2023-10-07,127.89,76.1,100
2023-10-08,127.92,78,100
2023-10-09,66.17,71.1,54
2023-10-10,58.12,65.9,71
2023-10-11,80.56,64.9,100
2023-10-12,81.74,64.2,100
2023-10-13,45.50,65.1,55
2023-10-14,0.00,68.1,0
2023-10-15,0.00,68.1,0
2023-10-16,73.27,69.6,67
2023-10-17,121.92,70.2,100
2023-10-18,128.15,70.6,100
2023-10-19,141.52,72.7,100
2023-10-20,143.38,73.2,100
2023-10-21,119.66,68.5,100
2023-10-22,116.06,65,100
2023-10-23,116.38,63.9,100
2023-10-24,107.54,63.7,92
2023-10-25,109.11,61.8,100
2023-10-26,84.17,58.4,100
2023-10-27,60.10,54.8,85
2023-10-28,64.27,53.9,99
2023-10-29,70.10,55.7,100
2023-10-30,75.56,53.4,100
2023-10-31,83.05,54.5,99
2023-11-01,87.33,55.2,100
2023-11-02,88.43,56.7,93
2023-11-03,105.93,61.2,100
2023-11-04,110.10,62.6,99
2023-11-05,108.51,62.9,104
2023-11-06,99.55,65.2,100
2023-11-07,103.24,58.3,100
2023-11-08,105.25,56.7,100
2023-11-09,105.05,52.5,100
2023-11-10,76.75,53,82
2023-11-11,76.99,54.5,100
2023-11-12,41.09,55.4,55
2023-11-13,71.53,57.7,62
2023-11-14,113.74,57.9,100
2023-11-15,116.96,55.1,100
2023-11-16,111.15,58.7,100
2023-11-17,111.49,58.2,100
2023-11-18,112.09,60.9,99
2023-11-19,112.41,55.4,100
2023-11-20,112.89,52.4,100
2023-11-21,113.35,49.3,100
2023-11-22,110.42,50.7,100
2023-11-23,107.10,54.1,100
2023-11-24,109.41,53.1,100
2023-11-25,35.58,47.1,29
2023-11-26,0.00,45.9,0
2023-11-27,83.87,45.2,72
2023-11-28,29.16,46.5,23
2023-11-29,23.46,48.1,22
2023-11-30,93.46,49.6,54
2023-12-01,166.09,51.6,100
2023-12-02,159.23,51.2,100
2023-12-03,159.65,53,100
2023-12-04,159.75,54.6,100
2023-12-05,154.47,50.9,100
