date,energy_total,temperature,percent_running
2024-06-14,47.14,76.1,35
2024-06-15,135.05,75.7,100
2024-06-16,140.94,77.2,100
2024-06-17,143.70,75.3,99
2024-06-18,146.10,76.5,99
2024-06-19,145.86,75.4,100
2024-06-20,143.93,74.2,100
2024-06-21,145.02,76.8,100
2024-06-22,145.01,83.5,100
2024-06-23,145.79,89.2,100
2024-06-24,144.60,88.4,100
2024-06-25,146.20,88.8,100
2024-06-26,147.28,84.2,100
2024-06-27,133.03,78.8,90
2024-06-28,147.36,79.5,100
2024-06-29,147.35,83.5,100
2024-06-30,148.81,85.3,99
2024-07-01,152.28,84.8,99
2024-07-02,152.87,89.3,100
2024-07-03,156.91,92.3,100
2024-07-04,158.85,94,100
2024-07-05,157.72,92.1,99
2024-07-06,146.38,93.4,99
2024-07-07,146.74,96.2,100
2024-07-08,148.42,91.8,100
2024-07-09,147.39,89,100
2024-07-10,143.77,87,100
2024-07-11,151.01,94.7,100
2024-07-12,152.88,96.2,97
2024-07-13,115.17,95.8,72
2024-07-14,54.82,89,34
2024-07-15,74.88,84.5,42
2024-07-16,183.67,80.9,100
2024-07-17,125.86,77.1,67
2024-07-18,183.19,83.4,100
2024-07-19,157.83,88.4,88
2024-07-20,119.69,91.6,69
2024-07-21,179.04,86.4,100
2024-07-22,177.69,87.2,100
2024-07-23,179.66,94,100
2024-07-24,176.37,95.7,100
2024-07-25,162.23,93.3,100
2024-07-26,157.98,90.8,100
2024-07-27,164.67,78.2,100
2024-07-28,158.61,72.1,100
2024-07-29,140.50,78.1,100
2024-07-30,148.86,77.9,100
2024-07-31,145.48,80.6,100
2024-08-01,140.01,86.4,100
2024-08-02,139.27,88,100
2024-08-03,142.19,87.2,100
2024-08-04,136.79,89.7,100
2024-08-05,133.34,85.5,100
2024-08-06,132.54,85.6,100
2024-08-07,112.05,91.5,100
2024-08-08,118.78,88.9,92
2024-08-09,135.24,86.4,100
2024-08-10,135.97,84.4,100
2024-08-11,122.22,85.5,90
2024-08-12,126.43,82.3,99
2024-08-13,141.84,78.7,100
2024-08-14,136.16,81.3,100
2024-08-15,136.41,81.4,100
2024-08-16,139.33,80.7,100
2024-08-17,140.14,79.9,100
2024-08-18,138.94,75.4,100
2024-08-19,104.83,77.7,72
2024-08-20,146.37,79.2,100
2024-08-21,147.00,80,100
2024-08-22,147.72,76.2,100
2024-08-23,146.47,70.4,100
2024-08-24,138.90,71.3,100
2024-08-25,95.21,73.1,84
2024-08-26,80.87,76.4,84
2024-08-27,126.42,81.6,100
2024-08-28,145.71,85.4,100
2024-08-29,152.08,82,100
2024-08-30,151.39,80.2,100
2024-08-31,151.81,80.9,100
2024-09-01,151.82,80.2,100
2024-09-02,148.82,77.4,100
2024-09-03,146.86,78.7,100
2024-09-04,145.79,84.3,100
2024-09-05,147.81,87.1,100
2024-09-06,149.10,89,100
2024-09-07,151.22,88.5,100
2024-09-08,143.77,86.3,100
2024-09-09,134.87,86.4,100
2024-09-10,135.29,79.7,100
2024-09-11,99.56,73.8,80
2024-09-12,58.76,72.8,52
2024-09-13,108.26,75.2,99
2024-09-14,108.93,78.4,99
2024-09-15,109.70,74.7,99
2024-09-16,69.46,66.4,62
2024-09-17,0.65,66,0
2024-09-18,70.96,68.3,69
2024-09-19,112.39,71,99
2024-09-20,119.14,71.9,100
2024-09-21,132.45,75.5,100
2024-09-22,129.18,77.1,100
2024-09-23,140.21,79.2,100
2024-09-24,161.83,82.9,99
2024-09-25,156.55,79.9,99
2024-09-26,119.19,72.7,79
2024-09-27,153.44,76,100
2024-09-28,150.93,78.3,100
2024-09-29,148.64,74,100
2024-09-30,144.09,75.1,100
2024-10-01,135.57,79.1,100
2024-10-02,141.62,84.2,99
2024-10-03,147.99,85.1,99
2024-10-04,147.84,85.5,100
2024-10-05,131.35,85.2,96
2024-10-06,137.54,84.3,100
2024-10-07,138.11,84,100
2024-10-08,134.84,85.7,100
2024-10-09,133.31,78.8,100
2024-10-10,133.63,75,100
2024-10-11,133.93,71.7,100
2024-10-12,134.19,70.6,100
2024-10-13,136.54,71.6,100
2024-10-14,138.77,72.2,100
2024-10-15,138.67,71.4,100
2024-10-16,119.61,70.4,100
2024-10-17,89.52,66.6,92
2024-10-18,103.40,65.2,99
2024-10-19,121.02,63.7,99
2024-10-20,116.78,63.6,93
2024-10-21,123.50,67,98
2024-10-22,125.01,65.8,100
2024-10-23,124.92,65.4,99
2024-10-24,124.91,65,100
2024-10-25,125.26,61.3,99
2024-10-26,125.62,63,99
2024-10-27,126.16,67.9,99
2024-10-28,123.14,63.9,99
2024-10-29,124.10,58.4,99
2024-10-30,125.32,56.2,99
2024-10-31,115.59,57.6,94
2024-11-01,123.23,56.5,99
2024-11-02,121.63,58.6,99
2024-11-03,123.64,57.5,104
2024-11-04,39.13,58.7,37
2024-11-05,52.15,55,41
2024-11-06,39.32,59.6,30
2024-11-07,55.51,55.2,44
2024-11-08,129.13,54.2,99
2024-11-09,137.89,55.9,100
2024-11-10,141.73,56.3,100
2024-11-11,147.64,55,99
2024-11-12,152.97,49.7,99
2024-11-13,151.18,50.2,100
2024-11-14,148.29,54.1,98
2024-11-15,150.74,50.6,100
2024-11-16,148.45,48.3,100
2024-11-17,1.08,45.1,0
2024-11-18,39.49,52.5,63
2024-11-19,109.15,48.2,99
2024-11-20,129.25,53.4,100
2024-11-21,129.45,58.5,100
2024-11-22,129.37,58.4,100
2024-11-23,127.10,60.5,99
2024-11-24,117.34,51.4,99
2024-11-25,105.36,53.3,99
2024-11-26,45.63,56,48
2024-11-27,82.48,50.4,99
2024-11-28,80.98,44.5,99
2024-11-29,77.22,44.1,99
2024-11-30,77.49,44.4,99
2024-12-01,80.66,47.6,99
2024-12-02,82.89,47.6,99
2024-12-03,82.90,48.8,99
2024-12-04,87.12,48.3,99
2024-12-05,93.35,49.4,99
2024-12-06,91.51,48.7,97
2024-12-07,99.07,48.7,99
2024-12-08,98.73,51.2,99
2024-12-09,94.19,46.3,99
2024-12-10,94.49,42.8,99
2024-12-11,93.70,42.5,99
2024-12-12,93.81,49,99
2024-12-13,93.61,52.6,99
2024-12-14,48.45,54.1,52
2024-12-15,11.39,47.6,11
2024-12-16,68.29,45.4,66
2024-12-17,104.36,48.4,99
2024-12-18,104.07,47.1,99
2024-12-19,104.19,44.8,99
2024-12-20,99.05,43.7,99
2024-12-21,102.16,46.6,99
2024-12-22,126.39,52.9,99
2024-12-23,131.43,55.2,99
2024-12-24,129.97,54.8,99
2024-12-25,123.38,46.2,99
2024-12-26,63.10,49,53
2024-12-27,8.29,54.2,11
2024-12-28,53.01,53.1,67
2024-12-29,89.45,53.6,99
2024-12-30,59.17,49.6,65
2024-12-31,39.49,45.5,46
2025-01-01,85.89,42.8,99
2025-01-02,33.89,46,39
2025-01-03,57.82,48.6,67
2025-01-04,86.34,47.9,99
2025-01-05,86.14,45.8,99
2025-01-06,85.91,44.7,99
2025-01-07,85.68,52.6,99
2025-01-08,85.38,49.6,99
2025-01-09,84.92,44.6,99
2025-01-10,84.72,46.9,99
2025-01-11,86.75,50.1,99
2025-01-12,89.70,49.4,99
2025-01-13,92.82,45.1,99
2025-01-14,94.60,44.2,99
2025-01-15,94.31,44.8,99
2025-01-16,93.98,44.7,99
2025-01-17,66.12,46.1,70
2025-01-18,95.96,45.3,99
2025-01-19,97.20,43.8,99
2025-01-20,35.64,43.9,37
2025-01-21,29.11,44.1,34
2025-01-22,85.20,44,99
2025-01-23,28.22,45.5,33
2025-01-24,22.53,47.9,28
2025-01-25,0.00,49.1,0
2025-01-26,42.01,47.1,58
2025-01-27,23.39,44.7,31
2025-01-28,29.31,43.3,42
2025-01-29,24.89,44.6,36
2025-01-30,0.00,46.4,0
2025-01-31,38.23,46.1,57
2025-02-01,71.32,50.9,99
2025-02-02,82.35,55.6,99
2025-02-03,79.13,57.7,99
2025-02-04,16.69,55.5,21
2025-02-05,49.50,50.6,64
2025-02-06,75.59,45.8,99
2025-02-07,71.05,53.8,99
2025-02-08,63.37,47.5,100
2025-02-09,58.85,44.5,99
2025-02-10,17.22,42.7,31
2025-02-11,25.05,42.5,46
2025-02-12,53.85,47.2,100
2025-02-13,54.32,53.2,100
2025-02-14,59.89,52.9,99
2025-02-15,64.27,47.7,99
2025-02-16,64.61,48.5,99
2025-02-17,64.90,50.9,99
2025-02-18,64.78,50.3,99
2025-02-19,65.04,53.3,99
2025-02-20,60.57,53.6,93
2025-02-21,65.14,49.5,99
2025-02-22,65.04,51.1,99
2025-02-23,65.07,55.7,99
2025-02-24,64.70,57,99
2025-02-25,64.32,55.8,99
2025-02-26,63.26,51.6,99
2025-02-27,40.12,53.8,62
2025-02-28,28.02,57.8,45
2025-03-01,61.82,56.1,99
2025-03-02,47.61,52.4,77
2025-03-03,0.00,48.1,0
2025-03-04,50.24,50.2,45
2025-03-05,115.31,51.5,99
2025-03-06,40.45,47.2,35
2025-03-07,0.00,47.7,0
2025-03-08,0.00,49.2,0
2025-03-09,0.00,51.2,0
2025-03-10,0.00,53.4,0
2025-03-11,0.00,54.4,0
